YEAR,MONTH,QTY_DEMANDED,QTY_SUPPLIED,,,,,,,,,,,
2012,May,243,371,,,,,,,,,,,
2012,June,332,465,,,,,,,,,,,
2012,July,346,457,,,,,,,,,,,
2012,August,286,461,,,,,,,,,,,
2012,September,233,352,,,,,,,,,,,
2012,October,325,329,,,,,,,,,,,
2012,November,342,329,,,,,,,,,,,
2012,December,291,273,,,,,,,,,,,
2013,January,162,136,,,,,,,,,,,
2013,February,188,202,,,,,,,,,,,
2013,March,229,225,,,,,,,,,,,
2013,April,220,204,,,,,,,,,,,
2013,May,252,251,,,,,,,,,,,
2013,June,322,353,,,,,,,,,,,
2013,July,322,261,,,,,,,,,,,
2013,August,340,274,,,,,,,,,,,
2013,September,247,283,,,,,,,,,,,
2013,October,325,329,,,,,,,,,,,
2013,November,342,329,,,,,,,,,,,
2013,December,291,273,,,,,,,,,,,
2014,January,247,342,,,,,,,,,,,
2014,February,225,220,,,,,,,,,,,
2014,March,273,271,,,,,,,,,,,
2014,April,264,372,,,,,,,,,,,
2014,May,303,307,,,,,,,,,,,
2014,June,303,321,,,,,,,,,,,
2014,July,345,356,,,,,,,,,,,
2014,August,338,360,,,,,,,,,,,
2014,September,340,267,,,,,,,,,,,
2014,October,304,389,,,,,,,,,,,
2014,November,244,271,,,,,,,,,,,
2014,December,184,223,,,,,,,,,,,
2015,January,181,391,,,,,,,,,,,
2015,February,308,357,,,,,,,,,,,
2015,March,310,460,,,,,,,,,,,
2015,April,316,480,,,,,,,,,,,
2015,May,316,509,,,,,,,,,,,
2015,June,355,315,,,,,,,,,,,
2015,July,307,425,,,,,,,,,,,
2015,August,251,367,,,,,,,,,,,
2015,September,348,455,,,,,,,,,,,
2015,October,326,491,,,,,,,,,,,
2015,November,369,434,,,,,,,,,,,
2015,December,369,434,,,,,,,,,,,
2016,January,264,434,,,,,,,,,,,
2016,February,270,340,,,,,,,,,,,
2016,March,338,475,,,,,,,,,,,
2016,April,368,511,,,,,,,,,,,
2016,May,360,512,,,,,,,,,,,
2016,June,324,626,,,,,,,,,,,
2016,July,224,506,,,,,,,,,,,
2016,August,330,502,,,,,,,,,,,
2016,September,332,502,,,,,,,,,,,
2016,October,434,462,,,,,,,,,,,
2016,November,434,517,,,,,,,,,,,
2016,December,203,441,,,,,,,,,,,
2017,January,203,575,,,,,,,,,,,
2017,February,372,438,,,,,,,,,,,
2017,March,1221,438,,,,,,,,,,,
2017,April,1221,543,,,,,,,,,,,
2017,May,464,559,,,,,,,,,,,
2017,June,110,961,,,,,,,,,,,
2017,July,450,679,,,,,,,,,,,
2017,August,460,540,,,,,,,,,,,
2017,September,340,601,,,,,,,,,,,
2017,October,476,610,,,,,,,,,,,
2017,November,390,771,,,,,,,,,,,
2017,December,379,659,,,,,,,,,,,
2018,January,450,636,,,,,,,,,,,
2018,February,489,499,,,,,,,,,,,
2018,March,392,540,,,,,,,,,,,
2018,April,392,479,,,,,,,,,,,
2018,May,309,479,,,,,,,,,,,
2018,June,358,479,,,,,,,,,,,
2018,July,363,534,,,,,,,,,,,
2018,August,438,653,,,,,,,,,,,
2018,September,398,559,,,,,,,,,,,
2018,October,460,559,,,,,,,,,,,
2018,November,343,533,,,,,,,,,,,
2018,December,257,566,,,,,,,,,,,
2019,January,291,521,,,,,,,,,,,
2019,February,312,447,,,,,,,,,,,
2019,March,328,540,,,,,,,,,,,
2019,April,327,530,,,,,,,,,,,
2019,May,425,631,,,,,,,,,,,
2019,June,311,487,,,,,,,,,,,
2019,July,308,469,,,,,,,,,,,
2019,August,383,586,,,,,,,,,,,
2019,September,276,495,,,,,,,,,,,
2019,October,227,429,,,,,,,,,,,
2019,November,253,358,,,,,,,,,,,
2019,December,255,524,,,,,,,,,,,
2020,January,354,451,,,,,,,,,,,
2020,February,338,423,,,,,,,,,,,
2020,March,384,466,,,,,,,,,,,
2020,April,299,332,,,,,,,,,,,
2020,May,243,371,,,,,,,,,,,
2020,June,332,465,,,,,,,,,,,
2020,July,346,457,,,,,,,,,,,
2020,August,286,461,,,,,,,,,,,
2020,September,233,352,,,,,,,,,,,
2019,October,244,429,,,,,,,,,,,
2019,November,288,358,,,,,,,,,,,
2019,December,255,524,,,,,,,,,,,
